10next.mp3	South Irving Station	
10this.mp3	South Irving Station	
12thstreet_Aug26Rail.mp3		
13659.mp3	Dallas Zoo Station	💛
15262.mp3	8th & Corinth Station	
15913.mp3	Westmoreland Station	
16083.mp3	Morrell Station	
21030.mp3	Illinois Station	
21210.mp3	Hampton Station	
22729.mp3	Cedars Station	
22730.mp3	Tyler Vernon Station	
22747.mp3	Convention Center Station	
22748.mp3	EBJ/Union Station—	
22748_OLD_VERSION1.mp3	Union Station	
22748_OLD_VERSION2.mp3	Dallas Union Station	
22748next.mp3	The next station is Dallas Union Station	
22748this.mp3	This station is Dallas Union Station	
22749.mp3	West End Station	
22750.mp3	Akard Station	
22751.mp3	St. Paul Station	
22752.mp3	Pearl/Arts District Station	
22752old.mp3	Pearl Station	
22938.mp3	SMU/Mockingbird Station	
22938_old_name.mp3	Mockingbird Station	
22938-test.mp3	SMU/Mockingbird Station	
22984.mp3	Lovers Lane Station	
23320.mp3	Ledbetter Station	
23390.mp3	Kiest Station	
23391.mp3	VA Medical Center Station	
26420.mp3	City Place/Uptown Station	
26420old.mp3	City Place Station	
26652.mp3	Whiterock Station	
26668.mp3	LBJ/Skillman Station	
26669.mp3	Walnut Hill Station	
26670.mp3	LBJ/Central Station	
26671.mp3	Forest Lane Station	
26672.mp3	Spring Valley Station	
26673.mp3	Arapaho Center Station	
26674.mp3	Galatyn Park Station	
26690.mp3	Forest/Jupiter Station	
26691.mp3	Downtown Garland Station	
26895.mp3	Cityline/Bush Station	
26895_CITYLINEBUSH.mp3	Cityline/Bush Station	
26895_new_version2.mp3	Cityline/Bush Station	
26895_old_version1.mp3	Bush Turnpike Station	
26896.mp3	Downtown Plano Station	
26897.mp3	Parker Road Station	
28172.mp3	Medical/Market Center Station	
28172next.mp3	The next station is Medical/Market Center Station	
28172this.mp3	This station is Medical/Market Center Station	
28174.mp3	Downtown Irving/Heritage Crossing Station	
28174next.mp3	The next station is Downtown Irving/Heritage Crossing Station	
28174this.mp3	This station is Downtown Irving/Heritage Crossing Station	
28176.mp3	West Irving Station	
28176next.mp3	The next station is West Irving Station	
28176this.mp3	This station is West Irving Station	
28178.mp3	Centerport/DFW Airport Station	
28178_OLD_VERSION.mp3	Centerport Station	
28178next.mp3	The next station is Centerport/DFW Airport Station	
28178this.mp3	This station is Centerport/DFW Airport Station	
28180.mp3	Bell Station	
28180_OLD_NAME.mp3	Hurst/Bell Station	
28180_OLD_VERSION.mp3	Bell Station	
28180next.mp3	The next station is Bell Station	
28180this.mp3	This station is Bell Station	
28182.mp3	Richland Hills Station	
28182next.mp3	The next station is Richland Hills Station	
28182this.mp3	This station is Richland Hills Station	
28251.mp3	Fort Worth Intermodal Transportation Center	
28251_OLD_VERSION1.mp3	ITC Station	
28251_WRONG.mp3	Fort Worth Intermodal Transportation Center Station	
28251next.mp3	The next station is Fort Worth Intermodal Transportation Center	
28251this.mp3	This station is Fort Worth Intermodal Transportation Center	
28252.mp3	Fort Worth T&P Station	
28252_OLD_VERSION1.mp3	T&P Station	
28252next.mp3	The next station is Fort Worth T&P Station	
28252this.mp3	This station is Fort Worth T&P Station	
28264.mp3	Victory Station	
28264next.mp3	The next station is Victory Station	
28264this.mp3	This station is Victory Station	
28755.mp3	Park Lane Station	
29815.mp3	North Carrolton/Frankford Station	
29816.mp3	Trinity Mills Station	
29817.mp3	Downtown Carrollton Station	
29818.mp3	Farmers Branch Station	
29819.mp3	Royal Lane Station	
29820.mp3	Walnut Hill/Denton Station	
29821.mp3	Bachman Station	
29822.mp3	Burbank Station	
29824.mp3	Inwood/Love Field Station	
29825.mp3	Market Center Station	
29826.mp3	Southwestern Medical District/Parkland Station	
29831.mp3	Hatcher Station	
29832.mp3	Lawnview Station	
29833.mp3	Lake June Station	
29834.mp3	Buckner Station	
31084.mp3	University of Dallas Station	
31088.mp3	Northlake/College Station	
31089.mp3	Beltline Station	
32040.mp3	Martin Luther King Jr. Station	
32040a.mp3	Fairpark/Martin Luther King Jr. Stations	
32041.mp3	Fairpark Station	
32042.mp3	Baylor Medical Center Station	
32043.mp3	Deep Ellum Station	
32049.mp3	Lake Highland Station	
32337.mp3	Las Colinas/Urban Center Station	
32338.mp3	Irving Convention Center Station	
32553.mp3	DFW Airport Station	
32562.mp3	Downtown Rowlett Station	
32834next.mp3	The next station is West Irving Station	
32834this.mp3	This station is West Irving Station	
32835next.mp3	The next station is Centerport/DFW Airport Station	
32835this.mp3	This station is Centerport/DFW Airport Station	
33086.mp3	Camp Wisdom Station	
33087.mp3	UNT Dallas Station	
33566.MP3	Hidden Ridge Station	
85000.mp3	Northlake/College Station	
86000.mp3	Centerport Station	
87000.mp3	Cedars Southside	
alert.mp3	[chime]	
alert3.mp3	[chime]	
AutomaticDoorsForYourSafety.mp3	For your safety, doors will open automatically.	
BC_Safety_Rail.mp3	This is Black Caesar. If you spot a problem on DART, let us know by using the GoPass App.	
BC_Thanks_Rail.mp3	Hey, this is Black Caesar. Our riders are the best. Thanks so much for riding, we can't wait to see you soon. Until next time.	
BJ_40thAnniversary_Rail.mp3	Hey, everyone. DART chief operations officer Bernard Jackson here to say even after 40 years of service, we're not slowing down. DART is back, baby!	
BJ_BetterAccess_Rail.mp3	DART chief operations officer Bernard Jackson, here. Did you know you can travel with ease between DART's 13 service area cities when you take DART? Now you do. DART is back, baby!	
BJ_Cleanliness_Rail.mp3	DART chief operations officer Bernard Jackson, here. Our clean team is dedicated to keeping the rides fresh. Help them out by taking all of your trash with you.	
